speed,motor,path,deadband_start1,deadband_start2,deadband_start3,deadband_start4,deadband_end1,deadband_end2,deadband_end3,deadband_end4,kinetic_coeff_inc,kinetic_coeff_dec,static_coeff_inc,static_coeff_dec,slope_end_pos,slope_end_neg
2,rear,./Python/deadband coeff/SourceData/RearSlope2Data.csv,35948.0,123352.0,209975.0,296478.0,53140.0,139883.0,227047.0,313910.0,-132,132,182,-183,173546.0,86683.0
3,rear,./Python/deadband coeff/SourceData/RearSlope3Data.csv,24164.0,81991.0,139938.0,197765.0,36006.0,93653.0,151900.0,209606.0,-141,136,182,-191,116014.0,58007.0
4,rear,./Python/deadband coeff/SourceData/RearSlope4Data.csv,18094.0,61556.0,105258.0,148840.0,26570.0,70092.0,113794.0,157195.0,-128,128,184,-186,86863.0,43341.0
5,rear,./Python/deadband coeff/SourceData/RearSlope5Data.csv,14306.0,49351.0,84095.0,118298.0,21579.0,56624.0,91368.0,126593.0,-152,137,205,-192,69668.0,34744.0
6,rear,./Python/deadband coeff/SourceData/RearSlope6Data.csv,12022.0,41176.0,70209.0,99363.0,17792.0,46886.0,75980.0,105073.0,-128,130,184,-185,58067.0,28973.0
7,rear,./Python/deadband coeff/SourceData/RearSlope7Data.csv,10279.0,34804.0,60351.0,84696.0,15208.0,40094.0,65160.0,90106.0,-163,130,179,-181,49832.0,24826.0
8,rear,./Python/deadband coeff/SourceData/RearSlope8Data.csv,9017.0,30838.0,52839.0,74239.0,13225.0,34985.0,56987.0,78868.0,-148,128,176,-184,43582.0,21701.0
9,rear,./Python/deadband coeff/SourceData/RearSlope9Data.csv,8055.0,27230.0,46887.0,66363.0,11902.0,31438.0,50734.0,70330.0,-140,130,202,-185,38772.0,19296.0
10,rear,./Python/deadband coeff/SourceData/RearSlope10Data.csv,7273.0,24164.0,42318.0,59930.0,10339.0,28011.0,45804.0,63356.0,-155,125,180,-175,34924.0,17312.0
15,rear,./Python/deadband coeff/SourceData/RearSlope15Data.csv,4929.0,16591.0,28312.0,39553.0,7093.0,18875.0,30596.0,42318.0,-157,120,195,-180,23323.0,11601.0
20,rear,./Python/deadband coeff/SourceData/RearSlope20Data.csv,3546.0,12443.0,21399.0,29694.0,5229.0,14066.0,22720,32100,-170,130,195,-150,17552.0,8656.0
25,rear,./Python/deadband coeff/SourceData/RearSlope25Data.csv,2886.0,10039.0,17132.0,24346.0,4088.0,11362.0,18274.0,25668.0,-125,125,175,-137,14127.0,6973.0
30,rear,./Python/deadband coeff/SourceData/RearSlope30Data.csv,2404.0,8235.0,14126.0,19536.0,3306.0,9137.0,14967.0,21099.0,-180,120,165,-120,11601.0,5710.0
35,rear,./Python/deadband coeff/SourceData/RearSlope35Data.csv,2104.0,7153.0,12023.0,16711.0,2825.0,7995.0,12924.0,17854,-140,105,193,-157,9858.0,4869.0
